DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
689,DSK-20,60,3,2,1.5kW,80,"3""",15.0,660,18,59,Dirty Water,https://www.hungpump.com/dsk,9.0,480.0,8560d693-8308-4d9b-a937-e43156ba1b9f
690,DSK-30,60,3,3,2.2kW,80,"3""",15.0,820,19,62,Dirty Water,https://www.hungpump.com/dsk,9.0,580.0,29138371-c85a-4d46-9cb7-5d0d8ca6d568
691,DSK-30,60,3,3,2.2kW,80,"3""",15.0,820,19,62,Dirty Water,https://www.hungpump.com/dsk,9.0,580.0,19a8e946-f93a-4a6a-9bd0-442e99282b9f
692,DSK-50,60,3,5,3.7kW,100,"4""",15.0,1180,21,69,Dirty Water,https://www.hungpump.com/dsk,15.0,560.0,165e506e-423c-4b6d-bfcf-53e9f795a54b
693,DSK-50,60,3,5,3.7kW,100,"4""",15.0,1180,21,69,Dirty Water,https://www.hungpump.com/dsk,15.0,560.0,f10ee640-9150-4ce3-95e2-9a0ae98f0c08
694,DSK-75,60,3,7.5,5.5kW,100,"4""",20.0,1320,24,79,Dirty Water,https://www.hungpump.com/dsk,15.0,1100.0,f36a6262-6f4e-4bf7-b8fb-3a6f24c0e8a0
695,DSK-75,60,3,7.5,5.5kW,100,"4""",20.0,1320,24,79,Dirty Water,https://www.hungpump.com/dsk,15.0,1100.0,51052fd2-ce99-4ba1-a3d8-b4bd968e8f12
696,DSP-10,60,1,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,ff91e4a8-451e-4d03-bc4d-2e8d46fd9f88
697,DSP-10,60,1,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,3c715d90-5d1b-4335-97de-6af286acfb61
698,DSP-10,60,3,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,4a2a2e4b-1059-4c01-82e2-f107ce7faa3f
699,DSP-10,60,3,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,84217cbb-0914-429a-8998-a0ed69fc71e8
